data,dia_fechado,transacoes_batidas,transacoes_pendentes,valor_batido,valor_pendente
2025-02-23,False,0,15,0.0,1479.52
2025-02-24,False,0,15,0.0,741.7900000000001
2025-02-25,False,0,15,0.0,3842.01
2025-02-26,False,0,15,0.0,2557.27
2025-02-27,False,0,15,0.0,2284.41
2025-02-28,False,0,15,0.0,2847.81
2025-03-01,False,21,311,2743.39,70406.79
2025-03-02,False,21,164,4870.009999999999,31964.949999999997
2025-03-03,False,15,253,4754.52,85836.59
2025-03-04,False,0,195,0.0,70578.9
2025-03-05,False,15,273,1995.03,88504.53
2025-03-06,False,11,295,1037.82,65663.38
2025-03-07,False,15,368,1863.14,105296.39
2025-03-08,False,24,322,2183.4300000000003,86838.01999999999
2025-03-09,False,6,215,438.46,46354.72
2025-03-10,False,1,410,50.0,105407.29
2025-03-11,False,15,317,8810.58,112906.73
2025-03-12,False,15,304,2537.3599999999997,116642.28
2025-03-13,False,15,310,782.92,134661.89999999997
2025-03-14,False,14,377,892.21,139658.71
2025-03-15,False,15,296,1466.9600000000005,107370.98
2025-03-16,False,13,188,1766.82,47179.97
2025-03-17,False,15,301,6043.93,103858.37
2025-03-18,False,15,316,6048.620000000001,161604.36
2025-03-19,False,15,294,5506.179999999999,117437.68
2025-03-20,False,15,316,1723.13,120698.88
2025-03-21,False,15,365,1498.8,123010.02
2025-03-22,False,26,314,4851.42,106289.53
2025-03-23,False,4,208,722.12,60622.89
2025-03-24,False,15,278,1464.4299999999998,95046.81
2025-03-25,False,15,308,3280.82,102619.24
2025-03-26,False,10,293,690.27,106431.03
2025-03-27,False,15,367,4548.649999999999,128202.67
2025-03-28,False,15,324,4652.249999999999,102132.15
2025-03-29,False,29,275,3498.2,80597.4
2025-03-30,False,1,213,50.0,48524.32
2025-03-31,False,15,431,1617.88,100475.31
2025-04-01,False,15,213,1761.6,91535.87
2025-04-02,False,15,115,3652.29,82986.6
2025-04-03,False,15,124,5880.1900000000005,77508.45
2025-04-04,False,14,217,2704.29,109446.21
2025-04-05,False,25,222,8707.330000000002,71865.43000000001
2025-04-06,False,5,164,695.11,27145.75
2025-04-07,False,15,195,5841.7,83649.15
2025-04-08,False,15,255,6753.48,103319.2
2025-04-09,False,15,279,2455.69,117796.75
2025-04-10,False,13,277,3515.0899999999997,115417.47
2025-04-11,False,14,305,2785.23,111195.45
2025-04-12,False,21,203,4802.31,64355.41
2025-04-13,False,9,154,867.36,54917.48
2025-04-14,False,211,215,52272.56999999999,82395.95
2025-04-15,False,211,200,68641.67000000001,82219.51999999999
2025-04-16,False,230,239,67592.01999999999,64005.45999999999
2025-04-17,False,320,264,63787.74,72693.91999999998
2025-04-18,False,228,187,44036.579999999994,48657.98
2025-04-19,False,183,131,32103.109999999997,34042.850000000006
2025-04-20,False,125,104,17486.840000000004,22355.31
2025-04-21,False,174,98,35375.600000000006,30527.54
2025-04-22,False,201,167,53090.82,74386.98000000001
2025-04-23,False,182,154,68915.48000000001,71144.79000000001
2025-04-24,False,181,147,62465.37,58655.54
2025-04-25,False,204,168,50067.53,69557.89
2025-04-26,False,24,206,7811.09,37595.28
2025-04-27,False,0,195,0.0,45853.18
